Systemization - Subsystem (Summary),Subsystem ID,Systemization - Process Plant ID,Physical Location - Area (Summary),Asset Discipline,Discipline
PS5-61-06 - 0.4kV Switchboard Power Generator Building (PS5-61-IK-0006),PS5-61-06,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-61-04 - 0.4kV Switchboard Office & Facilities Building (PS5-61-IK-0005),PS5-61-04,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-62-01 - Lighting Control Panel - PS5-62-IE-0001,PS5-62-01,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-62-02 - Lighting Control Panel - PS5-62-IE-0002,PS5-62-02,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-0H-01 - HIPPS,PS5-0H-01,EACOP,PS5 - COW - PS5 - Tanzania,E,E
PS5-04-03 - 33kV ICSS System,PS5-04-03,EACOP,PS5 - COW - PS5 - Tanzania,E,E
PS5-62-12 - EITS 33kV Bld. Emergency L&SP DP - PS5-05-IG-0003,PS5-62-12,EACOP,PS5 - COW - PS5 - Tanzania,E,E
PS5-61-08 - Electrical Control System,PS5-61-08,EACOP,PS5 - COW - PS5 - Tanzania,E,E
PS5-62-13 - EITS 33kV Bld. Normal L&SP DP - PS5-61-IG-0003,PS5-62-13,EACOP,PS5 - COW - PS5 - Tanzania,E,E
PS5-06-02 - AC UPS - Power Generator Building,PS5-06-02,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-57 - Fuel Conditioning Module PS5-60-UZ-8900A (UCP),PS5-60-57,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-59 - Fuel Conditioning Module PS5-60-UZ-8900B (UCP),PS5-60-59,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-61 - Fuel Conditioning Module PS5-60-UZ-8900C (UCP),PS5-60-61,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-63 - Fuel Conditioning Module PS5-60-UZ-8900D (UCP),PS5-60-63,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-65 - Fuel Conditioning Module PS5-60-UZ-8900E (UCP),PS5-60-65,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-67 - Fuel Conditioning Module PS5-60-UZ-8900F (UCP),PS5-60-67,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-69 - Fuel Conditioning Module PS5-60-UZ-8900G (UCP),PS5-60-69,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-05-01 - Emergency Diesel Generator Package,PS5-05-01,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-03 - Power Gen Package A Generator Auxiliary MCCs & DBs,PS5-60-03,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-06 - Power Gen Package B Generator Auxiliary MCCs & DBs,PS5-60-06,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-09 - Power Gen Package C Generator Auxiliary MCCs & DBs,PS5-60-09,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-12 - Power Gen Package D Generator Auxiliary MCCs & DBs,PS5-60-12,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-15 - Power Gen Package E Generator Auxiliary MCCs & DBs,PS5-60-15,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-18 - Power Gen Package F Generator Auxiliary MCCs & DBs,PS5-60-18,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-21 - Power Gen Package G Generator Auxiliary MCCs & DBs,PS5-60-21,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-22 - Power Gen Master UCP,PS5-60-22,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-09-03 - HVAC for Generator Building,PS5-09-03,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-28-10 - Oil Skimmer Package,PS5-28-10,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-56 - Fuel Conditioning Module PS5-60-UZ-8900A,PS5-60-56,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-58 - Fuel Conditioning Module PS5-60-UZ-8900B,PS5-60-58,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-60 - Fuel Conditioning Module PS5-60-UZ-8900C,PS5-60-60,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-62 - Fuel Conditioning Module PS5-60-UZ-8900D,PS5-60-62,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-64 - Fuel Conditioning Module PS5-60-UZ-8900E,PS5-60-64,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-66 - Fuel Conditioning Module PS5-60-UZ-8900F,PS5-60-66,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-60-68 - Fuel Conditioning Module PS5-60-UZ-8900G,PS5-60-68,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
"PS5-08-85 - Access Control, POB & e-Mustering",PS5-08-85,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-71-07 - Crude Fuel Separation Module (UCP),PS5-71-07,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
PS5-71-19 - Diesel Separator Module (UCP),PS5-71-19,EACOP,PS5 - TZA - PS5 - Tanzania,E,E
